Title,URL,Priority
How do I get help with Canvas Student ePortfolios?,https://community.canvaslms.com/t5/Canvas-Student-ePortfolios/How-do-I-get-help-with-Canvas-Student-ePortfolios/ta-p/1421,high
How do I manage badging accounts in Canvas Outcomes Assessment as an admin?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-manage-badging-accounts-in-Canvas-Outcomes-Assessment/ta-p/466164,high
How do I import a favorite page from Commons to Canvas as an instructor?,https://community.canvaslms.com/t5/Canvas-Commons/How-do-I-import-a-favorite-page-from-Commons-to-Canvas-as-an/ta-p/1820,high
How do I log in to Canvas Student ePortfolios?,https://community.canvaslms.com/t5/Canvas-Student-ePortfolios/How-do-I-log-in-to-Canvas-Student-ePortfolios/ta-p/1418,high
How do I reset my Canvas Student ePortfolios password?,https://community.canvaslms.com/t5/Canvas-Student-ePortfolios/How-do-I-reset-my-Canvas-Student-ePortfolios-password/ta-p/1416,high
How do I import Commons Favorites in the Rich Content Editor in Canvas?,https://community.canvaslms.com/t5/Canvas-Commons/How-do-I-import-Commons-Favorites-in-the-Rich-Content-Editor-in/ta-p/1805,high
How do I view my imported and shared resources in Commons?,https://community.canvaslms.com/t5/Canvas-Commons/How-do-I-view-my-imported-and-shared-resources-in-Commons/ta-p/1791,high
How do I add and manage Favorites in Commons?,https://community.canvaslms.com/t5/Canvas-Commons/How-do-I-add-and-manage-Favorites-in-Commons/ta-p/1801,high
How can I leave a review for a resource in Commons?,https://community.canvaslms.com/t5/Canvas-Commons/How-can-I-leave-a-review-for-a-resource-in-Commons/ta-p/1816,high
How do I import and view a Commons resource in Canvas?,https://community.canvaslms.com/t5/Canvas-Commons/How-do-I-import-and-view-a-Commons-resource-in-Canvas/ta-p/1808,high
How do I preview resources in Commons?,https://community.canvaslms.com/t5/Canvas-Commons/How-do-I-preview-resources-in-Commons/ta-p/1796,high
How do I use Commons?,https://community.canvaslms.com/t5/Canvas-Commons/How-do-I-use-Commons/ta-p/1795,high
How do I create a custom template for a certificate of completion for a Catalog course or program?,https://community.canvaslms.com/t5/Canvas-Catalog/How-do-I-create-a-custom-template-for-a-certificate-of/ta-p/594595,high
How do I view and manage tags in Canvas Catalog?,https://community.canvaslms.com/t5/Canvas-Catalog/How-do-I-view-and-manage-tags-in-Canvas-Catalog/ta-p/591900,high
How do I set up self-hosted Canvas Commons?,https://community.canvaslms.com/t5/Canvas-Commons/How-do-I-set-up-self-hosted-Canvas-Commons/ta-p/580251,high
How do I add a certificate of completion for a Catalog course?,https://community.canvaslms.com/t5/Canvas-Catalog/How-do-I-add-a-certificate-of-completion-for-a-Catalog-course/ta-p/1755,high
How do course and program listings display in Canvas Catalog?,https://community.canvaslms.com/t5/Canvas-Catalog/How-do-course-and-program-listings-display-in-Canvas-Catalog/ta-p/1759,high
How do I create a program assessment?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-create-a-program-assessment/ta-p/1466,high
How do I add a collection to a program assessment?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-add-a-collection-to-a-program-assessment/ta-p/1471,high
How do I add a requirement to a Catalog program?,https://community.canvaslms.com/t5/Canvas-Catalog/How-do-I-add-a-requirement-to-a-Catalog-program/ta-p/1756,high
How do I manage program requirements in Canvas Catalog?,https://community.canvaslms.com/t5/Canvas-Catalog/How-do-I-manage-program-requirements-in-Canvas-Catalog/ta-p/1744,high
How do I view the waitlist for a Catalog course or program?,https://community.canvaslms.com/t5/Canvas-Catalog/How-do-I-view-the-waitlist-for-a-Catalog-course-or-program/ta-p/1766,high
How do enrollment caps and waitlists display for a course or program listing in Catalog?,https://community.canvaslms.com/t5/Canvas-Catalog/How-do-enrollment-caps-and-waitlists-display-for-a-course-or/ta-p/1762,high
How do I define teams and roles in a program assessment?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-define-teams-and-roles-in-a-program-assessment/ta-p/1474,high
